ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,f5bfc51ddb3c,shrek,he,118,False,de90a1ee24e5,12.520863994723186
1,f5bfc51ddb3c,shrek3,SHOUTING),0,False,de90a1ee24e5,8.871660000295378
1,f5bfc51ddb3c,grail,witch!,0,False,de90a1ee24e5,9.41344301099889
1,f5bfc51ddb3c,grail,LANCELOT,59,True,de90a1ee24e5,2.918443991802633
1,f5bfc51ddb3c,shrek,DONKEY,320,True,de90a1ee24e5,2.4744989932514727
2,f5bfc51ddb3c,shrek,he,118,True,2bf0d7df88f0,5.2895889966748655
2,f5bfc51ddb3c,shrek3,SHOUTING),0,True,2bf0d7df88f0,2.512439008569345
2,f5bfc51ddb3c,grail,witch!,0,True,2bf0d7df88f0,2.2762640001019463
2,f5bfc51ddb3c,grail,LANCELOT,59,True,2bf0d7df88f0,2.507750003132969
2,f5bfc51ddb3c,shrek,DONKEY,320,True,2bf0d7df88f0,3.0068829946685582
