ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,0f96b466bf83,shrek,it's,55,False,de90a1ee24e5,13.231713994173333
1,0f96b466bf83,grail,seek,12,True,de90a1ee24e5,2.2359040012815967
1,0f96b466bf83,shrek,(standing,0,True,de90a1ee24e5,2.422852994641289
1,0f96b466bf83,shrek,DONKEY,320,True,de90a1ee24e5,2.3162329889601097
1,0f96b466bf83,shrek,DONKEY,320,True,de90a1ee24e5,2.752366999629885
2,0f96b466bf83,shrek,it's,55,True,2bf0d7df88f0,5.964768992271274
2,0f96b466bf83,grail,seek,12,True,2bf0d7df88f0,2.449930994771421
2,0f96b466bf83,shrek,(standing,0,True,2bf0d7df88f0,2.346510998904705
2,0f96b466bf83,shrek,DONKEY,320,True,2bf0d7df88f0,2.6659619907150045
2,0f96b466bf83,shrek,DONKEY,320,True,2bf0d7df88f0,2.3222750023705885
