ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,f17993949d12,grail,on,139,True,de90a1ee24e5,6.233703999896534
1,f17993949d12,grail,upon,13,False,de90a1ee24e5,7.238578997203149
1,f17993949d12,shrek3,"meet.""",0,True,de90a1ee24e5,2.531457008444704
1,f17993949d12,grail,BEDEVERE:,0,False,de90a1ee24e5,8.248978992924094
1,f17993949d12,shrek3,right.,0,True,de90a1ee24e5,2.0892839966109022
2,f17993949d12,grail,on,139,True,2bf0d7df88f0,6.112764996942133
2,f17993949d12,grail,upon,13,True,2bf0d7df88f0,2.2834170085843652
2,f17993949d12,shrek3,"meet.""",0,True,2bf0d7df88f0,3.4192379971500486
2,f17993949d12,grail,BEDEVERE:,0,True,2bf0d7df88f0,2.4557560100220144
2,f17993949d12,shrek3,right.,0,True,2bf0d7df88f0,1.8266010010847822
