ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,b7384c83e55e,grail,ANOTHER,25,True,de90a1ee24e5,6.280137007706799
1,b7384c83e55e,shrek,tell,25,False,de90a1ee24e5,7.70952099992428
1,b7384c83e55e,shrek,(whistles),0,False,de90a1ee24e5,7.837807992473245
1,b7384c83e55e,shrek3,SNOW,49,False,de90a1ee24e5,13.604824998765253
1,b7384c83e55e,grail,few,8,False,de90a1ee24e5,9.950405001291074
2,b7384c83e55e,grail,ANOTHER,25,True,2bf0d7df88f0,7.448621996445581
2,b7384c83e55e,shrek,tell,25,True,2bf0d7df88f0,2.8665770078077912
2,b7384c83e55e,shrek,(whistles),0,True,2bf0d7df88f0,2.201601004344411
2,b7384c83e55e,shrek3,SNOW,49,True,2bf0d7df88f0,2.3284170019906014
2,b7384c83e55e,grail,few,8,True,2bf0d7df88f0,2.5411249953322113
