ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,de4b42d7397d,shrek3,JOCKS,2,False,b009f92f4347,13.162399001885206
1,de4b42d7397d,shrek,I,386,True,b009f92f4347,2.244668998173438
1,de4b42d7397d,shrek3,DWARF,10,False,b009f92f4347,9.017757998663
1,de4b42d7397d,grail,seek,12,False,b009f92f4347,8.995479001896456
1,de4b42d7397d,shrek3,WHITE,45,False,b009f92f4347,11.58914300322067
2,de4b42d7397d,shrek3,JOCKS,2,True,344d9cc0cdcb,6.7305499978829175
2,de4b42d7397d,shrek,I,386,True,344d9cc0cdcb,1.8258199997944757
2,de4b42d7397d,shrek3,DWARF,10,True,344d9cc0cdcb,2.3413099988829345
2,de4b42d7397d,grail,seek,12,True,344d9cc0cdcb,2.272883997648023
2,de4b42d7397d,shrek3,WHITE,45,True,344d9cc0cdcb,2.557757994509302
