ClientID,pass,file,keyword,count,from_cache,server,latency_ms
1,ce384285d602,shrek,old,10,False,de90a1ee24e5,11.376330003258772
1,ce384285d602,grail,"lute],",0,False,de90a1ee24e5,7.929644008981995
1,ce384285d602,grail,pseudonym,1,True,de90a1ee24e5,2.4255780008388683
1,ce384285d602,shrek3,WHITE,45,True,de90a1ee24e5,2.8946420061402023
1,ce384285d602,shrek3,116.,0,False,de90a1ee24e5,12.834908004151657
2,ce384285d602,shrek,old,10,True,2bf0d7df88f0,6.660760001977906
2,ce384285d602,grail,"lute],",0,True,2bf0d7df88f0,2.3770319967297837
2,ce384285d602,grail,pseudonym,1,True,2bf0d7df88f0,2.284880989464
2,ce384285d602,shrek3,WHITE,45,True,2bf0d7df88f0,2.190175000578165
2,ce384285d602,shrek3,116.,0,True,2bf0d7df88f0,3.224490996217355
